5000 100001
1153 2296 69
200 4665 40
1598 1646 95
4752 3359 55
4378 924 31
950 1154 7
686 2041 90
4869 3176 78
4969 4956 77
4496 811 9
2455 991 62
2272 649 74
1226 2067 98
4016 310 30
2993 1174 87
4500 2812 43
646 2773 79
4855 4405 13
1810 935 14
3096 521 41
168 291 71
532 2130 78
2445 2512 13
4110 1588 75
3936 1316 45
3434 4014 22
1664 2266 79
254 2448 21
207 1429 9
889 4759 38
1787 379 73
4223 2058 31
1835 843 61
492 319 20
3135 958 90
47 168 3
4452 2862 64
2155 2106 81
4285 713 19
2264 1418 99
2584 504 68
1289 1840 88
4888 3233 38
2470 4281 27
2372 2310 28
2649 1811 30
3461 4778 36
3015 2111 58
3467 4495 30
1109 3538 95
2409 2473 21
2954 1567 21
3051 1795 62
2760 2623 68
466 2589 99
2716 4686 48
1861 518 64
4189 2965 70
2306 3011 54
3743 3000 52
1260 3549 48
1103 2253 93
3000 986 27
1644 3375 53
1226 824 55
3091 1970 93
3257 2471 46
2130 4033 97
1678 2170 3
762 2947 14
423 250 89
3015 2065 61
1953 565 92
1364 2824 90
3415 4904 2
1727 264 71
1451 2562 17
4714 4136 35
1401 899 85
4916 3060 76
1177 1935 69
3875 1961 73
2315 3471 46
589 3681 31
1001 4745 35
1418 4592 77
3822 3502 83
2394 1871 93
113 269 11
1053 2060 35
1557 3463 97
1743 4292 67
3083 1690 82
1737 2741 54
186 3131 88
350 3546 81
2060 4681 68
2325 3442 54
2050 4337 13
43 1251 53
4551 1776 36
2189 3611 13
619 130 1
1058 2347 80
2405 3427 32
3640 4883 65
2356 1999 54
4284 454 75
840 4197 47
3356 730 45
390 4457 44
3547 203 96
3111 2198 91
168 1593 30
817 4034 21
2249 1625 30
3155 3541 66
4722 4574 41
577 187 92
4936 3416 43
1538 1601 3
2555 3058 43
4858 4646 9
4854 3026 85
2844 2314 93
4584 3192 100
384 4109 76
1855 4307 52
276 1413 44
3435 1984 6
1843 843 71
544 582 70
616 2552 59
1914 1700 12
3322 1281 41
505 2273 67
307 99 1
718 3722 75
503 3340 99
2635 4707 50
3570 3768 36
1246 3243 17
2627 4590 79
1355 1932 23
1805 645 87
4525 4474 28
3283 4329 46
742 2621 91
1536 2224 75
418 72 52
2331 100 75
4006 2369 62
491 1033 51
902 3375 20
3192 415 28
4700 1139 15
3901 1527 43
2036 3237 67
1491 433 68
614 170 65
543 1044 54
1948 1659 95
3276 4109 38
1419 4946 28
3072 4474 52
2713 157 30
4444 4385 20
2341 699 71
2996 379 11
2181 700 54
3264 2815 44
3070 1503 96
4489 4700 52
2729 362 33
2778 183 5
3734 4951 21
4604 1962 78
2929 4997 94
1161 125 26
2133 286 1
2753 4472 61
1847 2863 27
1003 3839 31
676 2322 9
2289 4415 29
287 2779 8
857 227 65
1697 1959 13
3664 607 36
4316 2316 82
2171 63 86
2419 4494 21
4039 1854 68
4306 2187 72
837 784 4
4243 4190 57
239 4927 66
3499 1823 79
1289 3263 31
4956 3721 67
1542 93 62
1829 1225 76
3822 449 65
2364 4017 59
1334 2824 9
3908 1743 66
1897 3807 27
2947 971 57
1515 3023 44
2277 4904 4
1443 558 100
2972 3468 33
4068 1374 2
723 689 8
2050 1759 48
3427 715 48
1526 2546 67
1350 3391 50
4923 3601 97
2285 3510 46
197 2708 58
3945 838 63
1944 2406 81
3774 3417 52
675 3147 44
3930 640 97
4022 1420 28
1615 91 2
2253 1469 3
3248 4345 63
3089 2030 88
1383 4050 4
3523 1087 86
2144 4666 24
1443 3026 11
1085 122 1
2496 4147 62
2024 3547 13
1274 4476 99
1434 554 96
2354 562 60
4752 1598 34
1664 4291 12
1372 2407 7
4563 4195 20
3286 2800 25
1785 658 34
4841 2227 40
993 2787 30
3946 2987 97
1312 3426 74
3393 2976 70
1146 3389 39
4578 2946 85
26 1623 82
2519 3617 21
4636 3019 75
694 1443 70
638 3864 71
4393 1889 93
443 3534 41
1535 1339 42
4308 2939 58
2599 2176 21
250 1235 43
4820 1670 17
2629 4001 97
824 4618 30
3183 1015 78
1613 2901 92
3587 3190 100
3508 4802 1
138 1269 64
683 4828 40
4906 3356 75
4237 1502 22
3974 3301 80
4680 2180 68
1214 4321 50
447 3155 9
3290 1288 42
2148 1157 11
950 4886 79
1275 4 87
4817 81 85
2704 4288 48
328 3321 79
2206 623 92
3304 2822 77
918 1907 63
2342 4333 32
2224 2448 70
720 192 1
3000 157 100
2497 769 29
3146 1897 63
4540 4432 52
4073 1309 57
1037 3591 75
4199 929 43
1492 1483 38
2810 3973 49
1212 166 59
887 3131 1
2154 1159 22
2382 3932 82
327 386 40
1192 3154 66
4387 4238 62
1808 3315 83
3809 211 75
3182 4804 14
3682 4690 19
3707 919 91
1381 4300 68
4908 3404 78
1865 3162 46
2106 1480 40
3691 1789 43
2724 2739 94
569 4933 62
674 1697 60
262 3571 11
3012 2096 61
3580 2925 51
117 4656 45
3745 3438 74
3282 326 70
2408 2830 30
1728 7 11
4794 379 69
4849 1015 80
638 479 98
4119 4132 86
2919 2068 90
4932 2735 59
3890 4503 27
1912 1669 28
2632 309 24
3419 620 5
780 2188 90
3246 4431 72
1668 8 9
2316 2323 80
4472 1193 41
3360 2104 45
4623 2516 98
2597 3910 46
299 4879 55
4937 3179 42
115 1066 66
1903 3812 55
4591 2750 73
1945 1132 82
2678 3993 13
3453 856 73
176 3387 2
1491 4659 9
2228 4154 52
2901 2351 49
2446 140 21
433 3773 23
3110 1318 72
4670 2155 64
1189 4802 30
1342 2249 61
475 2007 32
4411 4117 36
2875 3831 67
1714 2615 87
2068 1420 17
360 4617 52
2713 1977 95
1563 4720 97
2117 146 41
2835 3643 62
4469 1718 83
2826 2433 85
2074 1520 64
364 1419 72
1014 2120 19
1180 3472 92
2064 3873 29
4448 3772 34
1729 698 44
1467 4580 55
2342 2007 76
3499 2378 62
1779 108 80
2493 2031 48
122 1502 43
3773 3939 4
375 2796 97
443 4806 13
4039 2888 47
4886 1862 3
1601 1966 46
3108 932 89
4271 80 37
2733 1628 56
2604 462 26
2283 4235 9
2733 4848 45
245 564 42
2632 836 26
999 412 77
3878 2431 74
1594 3 49
679 1511 14
2506 2513 3
2912 3357 94
795 1058 87
2258 1949 24
1420 3487 83
3394 2145 95
240 3089 24
4847 1994 73
4657 4833 52
3621 2926 83
4662 3308 69
2013 1255 51
161 1834 42
3227 2122 48
72 4372 9
26 4325 90
2302 1587 73
111 4936 91
1673 2345 86
451 818 5
4188 4294 46
4396 598 50
3480 1861 46
3077 3972 80
4492 4648 15
3193 1785 71
2332 268 52
339 3405 72
321 3709 84
365 1727 36
88 3186 29
1616 1310 98
2015 2536 27
1319 2910 93
4729 4349 5
2399 1070 68
769 321 35
2656 2572 16
3797 2780 85
1081 3108 53
1147 2036 50
892 2126 43
3406 1151 82
4622 172 96
3295 639 28
2038 261 86
1152 704 65
2895 975 95
2468 3786 36
3235 2910 75
2768 4969 85
3130 383 44
1643 181 27
98 1554 30
4342 3024 63
262 2729 36
1732 3255 38
4169 1790 60
1364 3000 81
1289 1195 70
1666 2778 54
4690 1043 40
2223 1057 53
64 3409 95
186 582 61
864 2888 60
4029 4738 87
2694 3059 28
1010 341 25
3100 2215 65
3745 4941 4
768 1538 68
320 3684 31
1843 582 74
3292 1411 36
3471 2075 39
4064 1515 68
2284 3224 61
3236 1072 43
1982 18 69
4378 2894 8
334 1787 35
4161 265 52
1223 2091 43
2604 2948 22
856 155 61
949 3333 30
4400 3357 95
3844 646 48
853 4487 79
1413 4425 71
2755 896 99
2233 2828 74
1359 371 16
4310 4256 42
2541 2826 25
2299 2084 82
122 4374 71
4353 2602 12
3982 1668 56
688 348 51
2132 1196 1
4418 4443 5
746 3035 1
2473 2929 89
3010 1567 63
598 3215 84
4775 1820 83
236 1272 80
2781 1458 33
2188 1388 45
1792 2519 96
2923 3284 70
1639 447 79
1173 1224 90
3128 2015 98
333 2912 42
2544 1130 76
807 4315 36
1698 4041 53
4348 4767 59
53 2333 100
4270 2671 18
2664 3835 18
4823 2266 94
4571 3918 19
2301 4503 79
1001 3904 67
617 2593 72
983 742 34
1844 781 40
4992 290 20
4482 1948 39
4089 547 32
2026 2240 9
4898 2678 62
2117 4740 86
937 1721 34
933 3157 29
2639 4975 10
4642 4917 6
345 164 47
4048 1412 35
3332 2796 56
2741 4454 10
3461 65 88
4077 4997 83
2367 3099 45
926 1899 23
192 1814 30
3291 1348 100
4869 683 66
3747 913 54
1353 3384 100
521 2794 64
1296 3212 30
68 3772 50
453 108 18
4556 1293 80
2203 1474 34
3853 549 60
877 3736 98
4206 1275 13
1802 4723 27
2137 2719 35
234 4979 59
2416 4826 72
4765 501 21
3517 1972 100
3248 514 12
394 1987 88
1286 676 10
2947 34 80
952 3221 2
1728 911 50
3578 1730 21
1616 1019 25
2122 2418 9
1935 665 32
3116 3464 67
9 3236 26
4065 2601 31
3488 2046 79
359 3516 86
1761 1733 60
4880 1295 86
4541 1242 34
3515 171 84
1431 994 4
2598 1047 7
3539 204 63
1644 4162 30
2166 1745 43
1085 2398 42
2399 243 56
1151 408 35
1228 3436 45
1529 4493 65
3844 4242 45
1165 3095 11
4080 369 6
342 253 92
563 154 61
2292 1003 88
1414 4639 24
4738 1494 51
548 3502 86
1011 689 94
2085 2179 17
2788 2114 90
373 4236 21
1366 1404 57
4875 1219 33
819 2560 39
3360 2874 57
3890 2724 92
96 530 79
1844 2019 42
1730 4694 2
378 2729 4
208 4085 41
3222 3588 29
2426 122 6
787 3847 87
469 4324 27
127 1901 23
1175 3543 12
1588 2426 42
2164 2452 32
860 2233 18
4206 840 13
1953 3612 92
3735 3027 27
1468 1072 42
2890 2266 63
2353 444 92
1908 3253 88
4302 2295 29
3236 578 6
78 2066 41
900 2791 96
3403 4359 88
3269 4182 45
3765 3784 23
4583 2185 53
4038 1677 35
3970 840 85
1614 3356 61
829 192 50
1227 4875 84
2976 1223 24
4756 1308 30
1064 4700 73
4773 502 17
1265 4944 25
2600 1201 33
4585 4318 94
371 2487 60
3006 3957 99
4555 3263 93
3721 782 16
276 1094 47
3805 1052 59
418 156 87
1090 395 25
882 1476 31
3773 2626 22
518 2591 50
1356 4132 43
3637 2151 96
4928 1841 75
36 2043 16
1260 62 45
761 3892 94
4993 367 21
4313 949 81
1554 133 50
2002 2456 87
2094 1263 79
4489 410 93
1867 4264 89
861 4248 1
2960 829 40
1874 3205 78
959 463 96
3322 4843 21
1976 182 65
1556 152 92
2323 2880 31
2497 1692 13
2460 1198 25
4379 49 12
4738 3714 72
4289 2652 90
355 1317 36
1351 159 14
3968 3040 35
3920 4496 62
3406 2468 87
1490 1213 65
1751 4802 17
4199 1807 28
4864 2539 20
571 62 8
46 1320 23
1125 2119 32
1472 4582 76
4363 114 59
3815 3872 81
2686 1617 45
1380 2241 88
3909 448 56
1488 3105 52
3588 122 80
152 3744 37
378 893 71
2452 503 7
2406 2275 79
1656 1356 38
2557 3420 11
707 745 97
4960 3724 42
4058 2442 11
2204 2318 98
4120 809 70
1035 3236 82
3439 4157 23
1048 3773 83
2177 4955 65
4229 4301 11
3004 4950 22
4557 2484 54
1221 993 30
1604 686 90
229 4002 70
109 4353 96
4425 1782 96
2910 2745 35
4657 3316 23
921 366 97
1684 944 92
459 1790 87
2884 2948 64
1074 516 6
4956 499 35
3327 3080 17
1281 1056 83
734 4250 86
936 451 48
258 1519 15
2575 2297 87
854 1981 3
3208 2073 98
4529 4549 48
4414 720 25
366 4784 65
1906 2594 1
3882 86 68
2818 3170 37
4541 3246 67
4207 3643 99
1003 122 59
2575 2393 34
1896 2221 46
2957 2704 58
1163 733 1
77 332 84
4113 4174 94
4710 710 35
1773 1769 33
1990 2753 57
2814 3203 46
1617 2095 53
4385 362 68
1766 873 82
4846 1992 98
4520 2046 74
2309 1002 9
1331 1316 99
1294 29 3
2402 4675 61
1500 2207 39
3342 2918 20
4356 2835 44
2515 2841 9
1284 738 98
2865 4298 86
2482 726 35
2665 2797 13
357 2425 54
2354 4197 22
1135 3546 2
2759 3336 61
1744 1256 16
2614 2349 52
3034 3113 10
216 1440 37
2350 2571 61
874 1714 87
1248 4268 100
3196 3563 20
4450 4096 33
3006 469 19
2287 296 3
135 2341 58
456 3395 4
1667 4048 59
3899 3971 14
1108 1235 81
543 2905 19
1847 542 85
528 4623 86
675 3512 76
452 418 49
2742 3675 15
2481 1774 66
3299 1911 14
3617 4993 64
2540 1134 63
1128 1904 13
4868 4954 14
2685 1462 63
4392 4694 57
565 665 16
2524 4546 15
1733 902 37
179 3226 84
2619 791 1
2389 4135 23
1563 2737 31
1490 3876 39
4449 938 51
1396 3146 71
453 1925 72
4425 3736 69
1174 2957 76
3822 968 61
1592 3938 60
4793 3281 39
640 2109 64
4863 4441 40
4117 2333 88
2627 604 92
2030 2367 7
4643 1569 11
1132 1985 61
4733 2800 10
3916 615 100
1145 3270 1
2696 1779 19
2589 2813 3
158 1950 75
3748 3570 100
4482 4316 35
2076 4892 55
4608 2156 68
1868 1210 34
2330 1789 75
2813 1431 89
420 526 46
3397 304 100
4899 823 50
2671 3090 95
388 3746 39
2270 1853 84
909 825 60
63 4521 82
3658 4370 17
4861 4930 100
3176 1486 55
1297 995 97
2910 2550 53
681 4857 43
1895 3965 50
4497 1375 85
3976 4468 49
1561 4422 45
3946 4187 77
2381 2373 45
549 1660 4
3620 3251 38
768 4463 74
422 1151 7
1854 1368 49
3440 1884 92
1828 2860 35
4263 3337 91
1006 3289 76
1143 1847 28
3207 4477 88
1852 1997 71
4092 3928 84
3295 2120 72
382 1796 18
335 1708 75
1706 1043 20
2993 4963 27
1419 891 76
1456 1185 46
1812 2894 89
1037 3755 77
1449 2519 62
972 4624 77
3356 765 80
1604 1865 91
4356 2546 83
4303 1350 79
2964 4008 78
3750 4688 46
1768 2985 23
3925 2249 93
4077 3775 64
3045 1080 29
3394 942 77
5 4356 23
3079 3606 70
377 1872 68
4963 414 10
4447 4115 42
4009 3666 86
4918 2866 18
2347 2893 3
2425 189 23
3107 3852 68
4436 3801 4
731 3144 16
2276 2625 73
314 1669 10
4958 2877 8
1968 3356 37
1700 2321 35
595 1532 2
2965 2401 83
652 2199 3
3248 2142 56
594 2180 7
3189 1131 54
1454 3420 34
2151 4259 71
2412 2010 64
4129 2646 37
1628 4090 39
12 2830 57
1091 4078 93
2115 3332 86
3910 3015 13
796 2563 46
1354 1216 19
3823 4783 29
3822 1745 28
766 2395 15
4369 3373 75
3673 257 65
4975 1030 17
146 4893 81
362 3954 94
2539 3298 82
4524 3269 79
4229 3746 2
4092 3792 20
1004 3881 11
2546 4516 25
2147 142 34
4551 153 42
4094 2334 30
4182 2667 60
4967 3142 74
4744 4314 56
1911 1743 49
4755 4226 84
4704 220 72
3623 1370 96
3451 3384 36
254 1895 87
396 1130 74
3527 715 67
1583 1704 29
1732 4243 33
1042 1141 56
1013 1926 56
1409 64 36
2503 3605 14
3762 1121 51
3804 1292 79
407 3438 3
699 1247 28
2192 229 32
568 4137 70
3389 2299 19
3871 3088 99
3266 127 21
192 3300 23
956 313 92
3689 4034 30
174 4331 18
1112 4342 74
2935 2057 58
1834 2518 65
375 4455 2
1895 176 13
3992 2907 29
3604 3740 16
1881 4050 47
3022 160 1
2531 726 82
3536 544 53
4 3638 12
3754 620 21
2577 3010 55
4052 2089 29
14 4083 14
4819 872 85
3600 1436 39
2564 1428 39
3085 1548 22
540 4557 97
1801 3641 6
1903 3201 10
3459 1711 13
4093 107 48
602 3461 48
3973 4436 48
4402 1296 44
1735 4873 87
1085 701 15
2551 3871 12
1947 1495 1
2295 1019 42
1369 507 27
3631 1790 32
2826 1763 81
1870 3260 88
2104 3417 56
3425 803 54
4092 1957 36
2152 2788 25
554 3929 7
2056 92 68
3940 3458 6
2875 1219 25
1512 4188 26
4141 778 26
242 2843 64
113 2294 54
387 1353 44
4190 395 99
1861 1014 67
1537 4098 87
3750 2752 56
3747 2147 67
404 4545 7
3657 3279 27
1161 1479 95
3030 3359 59
2295 93 23
576 1984 8
1880 924 21
3522 3818 30
1891 2401 87
771 2280 33
4108 3122 57
3756 275 3
1383 3520 82
4302 4159 89
2600 4953 68
2417 2087 23
3840 917 34
4909 4374 18
1767 2592 63
3328 2579 25
1412 4237 89
1266 1495 1
181 2294 55
3585 1206 55
813 269 97
1593 608 23
3435 1009 17
564 4373 75
1788 1861 23
257 1866 71
4135 4477 11
238 1174 41
1041 3100 83
2101 4709 48
2115 4249 46
2865 657 44
3472 974 75
2844 3591 10
2509 3678 84
2076 2572 84
455 282 93
1565 4862 13
927 4617 92
554 1446 65
4213 1496 74
3718 1185 50
4352 4313 72
2094 2095 82
3581 3226 50
309 4678 45
3787 3444 98
1790 4263 95
4036 4633 60
272 3687 6
663 3966 91
1742 3796 80
3535 1675 90
1842 407 31
1167 868 12
728 4208 34
2505 282 25
3902 301 66
1747 3175 66
3162 1737 14
572 1976 24
4616 94 32
3343 3940 4
2768 275 5
2405 3402 80
633 215 44
4123 83 62
1995 52 38
4109 4762 19
4819 2907 60
2203 2901 32
4833 223 67
4126 769 93
2222 1443 69
2143 3419 52
2278 932 95
99 1947 39
3025 332 50
3758 3556 45
1043 2845 42
3604 2684 84
3275 1061 88
951 4270 88
4053 2340 5
1776 4299 98
1332 385 95
912 1824 76
1720 1660 32
3292 245 42
639 3402 48
131 1095 92
381 2590 2
4059 1629 96
2051 2000 44
2558 3687 36
1185 909 32
439 4618 85
4777 633 92
2626 3612 77
2607 3387 1
351 161 44
799 201 63
3911 2928 1
1561 4045 68
4641 2499 74
118 827 4
2742 1006 99
1106 4301 98
666 3770 42
1776 376 53
2727 2664 98
2150 3016 46
1012 903 57
4094 136 59
1020 86 12
3734 160 3
4928 1774 62
2352 4416 43
4526 1815 44
1438 1010 73
837 1798 9
3445 1195 88
4279 4532 35
2536 3082 19
1520 515 76
2068 3708 27
840 898 96
1261 3238 96
3556 1246 39
380 4643 60
2067 88 99
3786 3697 76
2699 495 33
4353 2934 54
2092 617 16
4865 729 88
78 2320 17
4215 2955 41
1596 4771 47
4490 203 60
1346 2845 14
939 3491 54
1271 2544 74
2569 374 76
100 1186 42
814 1760 90
63 1180 65
80 2245 81
3407 732 38
613 3242 47
2232 280 78
3544 218 86
3700 532 59
191 4191 88
3398 3206 78
3579 399 59
2297 3481 30
757 4834 4
1564 3949 63
3068 3854 93
149 4382 85
1280 303 53
3478 455 35
4251 3237 75
699 1171 33
3751 1940 81
3385 2856 79
4107 610 95
3773 782 88
2288 769 93
1674 3689 99
2189 2238 56
1460 2484 60
2776 1299 28
3333 3709 14
4986 807 19
3813 4900 99
261 1733 51
3720 210 61
701 3118 20
3118 3661 93
1411 17 91
4319 2092 61
4790 4227 50
2849 2585 55
4093 2230 42
3144 1958 49
773 2325 46
3456 4537 70
3254 171 6
3706 4953 73
838 1335 40
3250 1737 100
4519 2227 3
4874 1313 100
2729 4327 78
4918 2830 73
4083 457 31
4495 3574 24
37 3241 14
2094 143 16
4153 471 3
1856 160 3
3973 2373 63
4118 697 99
4137 1761 100
690 2638 16
715 580 15
3037 2799 89
2994 183 68
1846 4415 51
3211 2897 98
4291 513 16
2395 836 38
4442 4162 69
4930 1661 66
1660 4635 30
1031 641 75
1159 2442 80
2464 1707 6
1388 2921 91
885 4149 46
1843 293 86
1267 703 100
3836 1033 95
1945 521 65
2952 3311 52
1261 4889 2
1948 1968 28
1092 3599 42
2726 2666 69
336 1854 88
4889 1505 36
2827 1515 77
3005 3936 11
688 2104 59
3457 4651 100
1990 782 2
2949 83 2
3529 3477 25
533 641 40
3846 2727 98
2977 3924 27
1843 4534 37
2647 3167 42
1867 362 61
1322 2138 34
2338 362 53
917 2211 48
3926 3006 3
992 4741 11
2002 1994 73
2973 4266 34
1796 1378 44
3383 2322 54
2442 1734 61
1449 1604 47
836 1848 64
1392 3289 18
2967 2904 66
4405 3081 59
107 1653 56
981 996 92
2380 1664 78
3878 4285 74
2828 4919 77
4665 4354 51
1495 1832 94
4638 3441 15
1189 1136 78
2551 2765 18
1367 4729 96
3702 2499 75
847 1539 92
3171 3448 25
837 3814 57
4931 3200 88
486 1741 80
1510 404 12
3392 151 83
3276 849 36
3897 4470 6
3718 3516 58
1052 2234 46
3883 3899 26
4251 568 36
3029 2127 17
2148 117 32
4115 2259 28
514 1127 49
321 2133 38
1511 4727 27
929 4825 10
2111 2315 34
4996 3701 59
472 3799 3
422 3442 58
2415 4418 32
1133 1405 92
1098 3717 56
539 1396 43
1176 241 20
4768 3907 2
1860 1017 28
118 2989 19
1303 2052 100
4393 3355 49
512 4889 80
3909 1349 53
3489 1684 23
2159 2081 51
2554 2303 48
3802 2700 23
4104 1201 91
1855 3553 10
126 1538 66
278 1310 8
4400 3377 33
2158 2836 75
97 755 36
1192 1189 13
3498 3768 62
1315 4157 20
3332 4004 44
1184 15 68
2672 2385 44
573 2420 100
3078 4677 95
519 4482 85
1881 3076 30
385 202 8
4745 3822 31
1674 932 33
2046 1224 27
3239 469 12
1799 3236 42
4231 575 59
3486 187 92
598 4134 83
1734 1438 36
1143 2507 22
2310 2615 34
484 1792 88
56 4536 29
4965 4390 68
3676 4856 96
3835 2523 93
1975 1850 35
2646 3449 4
749 564 93
3369 241 16
3465 3305 57
2218 1596 38
1581 4506 7
703 3256 84
3720 519 13
858 3396 42
2479 1607 33
4109 4761 62
1124 1623 78
3114 3987 78
4188 4445 87
148 439 16
3764 3276 81
201 233 84
3480 780 13
1132 916 2
441 1499 9
2896 3728 20
2706 1190 74
2720 855 15
3677 1046 89
4215 1269 22
2428 1062 32
2070 2898 49
2524 1554 57
1110 4157 32
2708 881 15
611 2682 12
969 2947 4
1963 3661 85
2458 3065 82
3703 4943 89
284 1103 24
4136 4991 44
290 1333 54
725 3447 22
737 1353 98
1127 2177 55
106 3829 95
4839 4837 84
1931 1184 61
4024 1318 31
2103 869 14
1295 2470 73
2258 503 34
914 1106 41
277 3551 100
521 2447 79
1202 2365 21
376 2002 22
4709 1335 40
2071 1480 41
1062 824 5
1199 2458 70
2212 1497 47
333 2493 55
2973 4510 16
2294 3018 70
3336 3518 41
4583 4175 12
4250 741 14
2997 4986 8
4965 4223 17
4728 1277 28
1585 1164 60
3529 1197 35
3889 3265 29
3372 3864 34
3528 4186 36
263 2723 76
3715 3611 96
2592 2726 100
2515 4117 39
3167 1915 1
1595 716 85
4449 3999 41
412 2830 20
3556 57 36
661 3816 93
771 998 11
3890 4379 27
3345 2723 16
4511 1844 50
788 1321 97
4153 1253 22
3958 3985 26
149 264 21
3216 1947 83
2418 3772 47
4371 3069 7
3665 261 62
1830 2265 7
4507 671 51
1004 160 8
440 1488 86
843 1779 62
2561 793 33
3855 3351 79
378 4806 22
2085 1533 92
4012 4529 98
4258 3333 92
2122 1849 89
2267 2783 61
2356 2633 92
3945 1762 10
135 2842 98
2219 2312 93
1186 2113 77
4430 3284 12
4137 2727 3
1317 4009 18
1313 2533 58
4810 2068 23
3630 1039 94
3615 3577 27
2062 644 79
916 1763 69
2615 3347 43
336 3060 63
3268 1155 5
4447 1950 35
534 1864 57
417 2336 91
2740 1546 2
2801 1079 6
4562 251 24
2584 3258 44
4796 3205 40
1513 2365 43
2030 4788 83
3984 3062 81
2423 3495 93
129 1462 8
1494 1847 30
4358 3093 15
1789 3690 57
1093 2387 82
1699 431 18
893 355 74
1388 1345 8
3098 1148 29
864 2148 24
2725 2657 16
2670 1034 98
1259 3989 94
1788 3262 51
3351 3800 84
1676 142 53
3216 3096 92
2802 4139 44
3604 206 89
4859 460 38
961 76 5
2287 3406 72
391 2125 30
1029 2238 55
3458 1566 69
1972 544 17
2248 1257 17
2338 3065 55
2007 230 95
4316 300 93
939 713 51
71 4491 63
1450 4797 39
2583 2621 26
2193 482 30
1384 160 52
2290 3629 37
1767 2155 1
438 1192 3
2834 3046 90
143 936 32
1658 279 90
627 4085 9
4091 539 87
3284 749 9
745 2811 96
405 430 90
2660 955 91
796 4984 38
2327 3438 70
2229 2659 39
3455 1934 7
4760 1712 37
1005 4918 41
2713 1719 62
4229 4985 39
1840 2374 82
1356 2039 19
3803 592 44
3931 2021 13
3785 2252 36
4749 3916 91
1273 3569 100
3278 2062 26
4518 1883 54
2333 3988 59
4702 3277 66
3635 4668 56
1554 1409 94
1252 2710 98
3879 237 39
3419 871 30
4941 1866 77
1383 496 18
3488 2478 25
862 3151 50
1117 158 22
995 1077 70
1008 1492 46
1294 426 41
4615 1354 32
157 1685 39
2090 2267 55
15 4506 99
4102 1666 88
2503 762 1
326 4630 34
2742 1558 81
68 1719 76
4293 1280 3
2976 1512 19
1942 936 31
2167 1509 30
1271 2541 47
4752 1363 30
2210 815 66
4958 2032 1
3969 1474 55
3106 3007 76
199 750 26
1380 1655 73
3641 3353 23
4079 260 16
4352 3541 80
2356 616 39
560 815 68
372 2986 84
1272 3495 98
2934 1102 43
1236 2708 5
4001 2897 25
1634 428 55
4425 296 13
2076 1193 21
828 4076 64
4661 2391 82
4650 2522 74
4101 785 8
3159 1187 34
814 2627 13
1285 4209 68
244 2756 17
1632 1304 21
1741 4890 15
4345 2162 40
1636 3568 23
897 1184 19
2580 3191 1
3881 412 79
1906 249 87
4768 1006 30
196 1693 44
2832 4143 27
86 290 18
4727 4684 77
4617 375 20
1580 260 43
2596 1661 76
2638 1732 95
1696 4338 96
1015 2478 88
4435 608 60
743 677 42
512 1736 90
3234 128 6
61 4984 58
1683 4640 53
4975 182 48
3940 2944 47
1856 1395 21
2052 1837 89
470 3929 40
4658 1380 22
3259 593 53
1699 3224 21
86 4876 56
455 1147 62
1796 3179 12
2371 241 81
2875 2229 57
3422 4654 69
2376 2887 7
2109 1812 29
1369 2234 9
454 3657 36
3780 4595 84
4886 1518 34
2046 2990 7
4525 3564 56
4947 328 58
550 4641 24
4280 3201 63
48 2566 2
2833 3705 61
4043 3217 48
3608 1887 5
2307 27 14
2903 188 74
1798 1478 32
4934 2759 74
2452 2140 53
1094 2256 22
2596 2684 69
2045 3495 65
3149 4463 17
3041 792 18
2936 4801 49
130 4406 62
3042 4248 94
1437 816 34
4359 3630 78
433 1035 62
2279 4320 66
1732 1070 43
2620 3697 62
1696 3556 42
4590 1596 19
1650 4522 21
3373 1657 11
1711 1906 96
1896 225 71
1262 4825 73
1134 307 96
2022 1819 67
2130 4117 65
1332 4719 22
925 1788 73
4377 4552 29
4466 2169 59
2282 804 3
4542 4151 4
442 377 55
2002 397 79
2577 3520 57
4600 4416 81
3653 2726 64
205 1619 50
1110 1762 94
703 1762 92
793 671 34
984 2256 94
2289 1941 69
724 1029 73
364 542 10
1867 3128 15
4749 4420 66
4923 4203 75
543 1596 50
1832 4369 21
4360 425 53
3219 1117 4
299 4402 48
3187 1330 88
4772 1729 30
316 4361 28
387 73 100
3995 965 16
2415 2394 56
2092 14 88
124 1236 25
3024 121 10
4999 4311 23
2722 418 57
2634 1349 44
4582 780 3
1337 2435 31
1015 2842 45
20 1389 50
833 704 96
2411 2085 75
961 4107 26
1850 80 55
1106 2045 90
1512 812 60
2315 2240 5
1093 2824 35
161 2263 11
251 2203 30
2170 1844 5
1975 3202 25
108 3928 25
1311 375 67
3905 2731 17
44 1662 25
3383 3737 94
1061 558 9
1320 3403 54
4535 899 7
4788 788 35
1759 962 3
768 3871 65
393 3506 29
2854 4381 85
205 1759 60
907 2311 43
3504 4362 8
2360 4665 38
1677 1201 12
2850 3889 49
3116 3781 1
531 966 84
1471 4451 66
4198 572 19
2774 1025 62
2641 3797 7
3304 2708 45
891 2718 88
4356 2249 8
1163 4301 63
2719 2786 97
882 4404 13
2520 4973 47
2522 3841 76
638 1771 13
3591 521 26
952 4399 29
4029 2388 21
834 3242 74
203 1074 8
1018 3144 83
1062 3507 64
3782 1215 31
3322 2760 23
3576 3532 45
